dummy,index,donki_date,cdaw_date,donki_speed,donki_ha,longitude,latitude,Accel,2nd_order_speed_final,2nd_order_speed_initial,2nd_order_speed_20R,Central_PA,MPA,sunspots,halo,Double_CME_100_MeV,target,100MeV_peak_intensity,threshold_time,peak_time,solar_wind_speed,100MeV_peak_intensity_ln,connection_angle_degrees,expected_richardson,expected_richardson_ln,Type_2_Area,richardson_formula_degrees_phi_2_solar_wind,diffusive_shock,V log V,CMEs_past_month,CMEs_past_9_hours,CMEs_over_1000_past_9_hrs,Max_speed_past_day,connection_angle_degrees_phi_2_solar_wind_sq_div,trained_richardson_ln
0,363,6/1/2012 19:36,6/1/2012 19:24,0.10218978102189781,0.1724137931034483,0.3472222222222222,0.550561797752809,0.2890616791005569,0.258252427184466,490,0.27870171673819744,0.2722222222222222,0.16944444444444445,0.6080402010050251,0.0,0,0,0.135335283,229,484,373.3,-2.000000002,-115.9643389,0.001164699,-6.755292644,0,0.026168759290324486,0.26590931902634796,0.0789927542922245,0.24675324675324675,0.0,0.0,0.0,-3.636486723,-4.549467638355421
0,404,7/4/2012 12:54,7/4/2012 12:48,0.09343065693430656,0.11494252873563218,0.5833333333333334,0.19662921348314608,0.24261847220762844,0.06440129449838188,383,0.0,0.5638888888888889,0.5638888888888889,0.6582914572864321,0.0,0,0,0.135335283,229,484,504.3,-2.000000002,-54.54413967,0.01813862,-4.009711917,0,0.4474571310392546,0.2554978505864259,0.07157535329691518,0.4935064935064935,0.5,0.0,0.242,-0.804505996,-1.768509642347156
0,164,10/18/2011 9:12,10/18/2011 8:12,0.11678832116788321,0.3218390804597701,0.7916666666666666,0.29213483146067415,0.24314384785121362,0.10420711974110032,512,0.06276824034334764,0.7388888888888889,0.6694444444444444,0.7839195979899497,0.0,0,0,0.135335283,229,484,375.8,-2.000000002,54.42051882,0.022921743,-3.775669326,0,0.4490906961997594,0.28168539165675716,0.09152397547635635,0.36363636363636365,0.0,0.0,0.0,-0.800863404,-1.628806437859355
0,276,2/25/2012 13:25,2/25/2012 13:36,0.10583941605839416,0.11494252873563218,0.6388888888888888,0.6123595505617978,0.27855416622885365,0.13624595469255663,279,0.21646995708154507,0.3861111111111111,0.37777777777777777,0.24120603015075376,0.0,0,0,0.135335283,229,484,447,-2.000000002,-21.03679893,0.040661325,-3.202477882,0,0.8876986307844815,0.27002235264093993,0.08210641414394125,0.15584415584415584,0.0,0.0,0.14,-0.11967196,-1.0113934062887908
0,1397,11/19/2014 2:12,11/19/2014 2:00,0.23357664233576642,0.04597701149425287,0.3861111111111111,0.7078651685393258,0.24577072606913944,0.1307443365695793,602,0.12285407725321888,0.10833333333333334,0.125,0.32663316582914576,0.0,0,0,0.135335283,229,484,419.3,-2.000000002,-94.45742368,0.014472329,-4.235516816,0,0.08944485189483936,0.6356495933559493,0.1974656643539322,0.5714285714285714,0.0,0.0,0.156,-2.412710894,-2.5603508638079964
0,1022,3/24/2014 7:36,3/24/2014 7:12,0.23613138686131388,0.19540229885057472,0.7111111111111111,0.33707865168539325,0.26899232951560365,0.3055016181229773,681,0.24758583690987124,0.6333333333333333,0.6583333333333333,0.6884422110552764,0.0,0,0,0.135335283,229,484,444.3,-2.000000002,36.48748728,0.115599776,-2.157621262,0,0.6980067656695427,0.6626938290638882,0.19987216481945788,0.6883116883116883,0.25,0.0,0.2108,-0.36001534,-0.49277367984975434
0,969,2/22/2014 12:24,2/22/2014 12:12,0.36532846715328465,0.28735632183908044,0.8861111111111111,0.19101123595505617,0.2622675212777135,0.35372168284789646,957,0.2872854077253219,0.6861111111111111,0.5666666666666667,0.7336683417085427,0.0,0,0,0.135335283,229,484,436.8,-2.000000002,87.96111747,0.073134088,-2.615460704,0,0.1233073027829961,0.9520637369773133,0.32514196310744076,0.974025974025974,0.0,0.0,0.336,-2.092254783,-1.4724278573163274
0,1040,4/2/2014 13:55,4/2/2014 13:36,0.5635036496350365,0.7241379310344828,0.3611111111111111,0.601123595505618,0.25102448250499104,0.47378640776699027,1478,0.3937768240343348,1.0,0.16666666666666666,0.5728643216080402,1.0,0,0,0.135335283,229,484,403.3,-2.000000002,-105.8867084,0.20183319,-1.600313714,0.9344117223881689,0.04806438309858981,0.9901155324245245,0.5274250732148104,0.8181818181818182,0.0,0.0,0.2308,-3.031907792,-1.2576916042905273
0,1665,6/24/2015 10:48,6/24/2015 10:48,0.11496350364963503,0.42528735632183906,0.7638888888888888,0.3651685393258427,0.24997373121782074,0.11197411003236246,401,0.08798283261802575,0.7055555555555556,0.7194444444444444,0.18090452261306533,0.0,0,0,0.135335283,229,484,639.2,-2.000000002,61.82889388,0.017835629,-4.02655717,0,0.35574792072636224,0.27981243723057353,0.08994665921189848,0.4025974025974026,0.0,0.0,0.0,-1.033751249,-1.8723240179651213
0,1407,11/27/2014 7:12,11/27/2014 7:00,0.23357664233576642,0.20689655172413793,0.3055555555555556,0.6348314606741573,0.25428181149521906,0.0511326860841424,137,0.06786480686695279,0.8222222222222222,0.825,0.7638190954773869,0.0,0,0,0.135335283,229,484,355.2,-2.000000002,-129.457918,0.001738365,-6.354810392,0,0.010571060353920128,0.6356495933559493,0.1974656643539322,0.5844155844155844,0.0,0.0,0.12,-4.532004471,-4.679644439965838
0,1439,12/30/2014 10:00,12/30/2014 10:12,0.16058394160583941,0.22988505747126436,0.3888888888888889,0.8314606741573034,0.2598507933172218,0.1802588996763754,331,0.14136266094420602,0.14166666666666666,0.09166666666666666,0.44221105527638194,0.0,0,0,0.135335283,229,484,672.8,-2.000000002,-82.10992294,0.012702401,-4.365964236,0,0.16144296613554757,0.32041489687718433,0.1301990479855666,0.35064935064935066,0.0,0.0,0.116,-1.823158314,-2.395987698513668
0,757,10/25/2013 15:12,10/25/2013 15:12,0.3357664233576642,0.40229885057471265,0.325,0.5786516853932584,0.22580645161290322,0.28511326860841424,1277,0.27226394849785407,1.0,0.18888888888888888,0.6934673366834171,1.0,0,0,0.135335283,229,484,309,-2.000000002,-135.1049478,0.0031802,-5.75081104,0.8898589230781738,0.006993845185289938,0.9348805458885421,0.29592539498864706,0.45454545454545453,0.25,0.0,0.1908,-4.936005118,-4.488379904064647
0,899,1/26/2014 8:48,1/26/2014 8:36,0.24416058394160584,0.40229885057471265,0.2722222222222222,0.3202247191011236,0.2071030787012714,0.24789644012944984,1420,0.2628755364806867,0.3472222222222222,0.33055555555555555,0.48743718592964824,0.0,0,0,0.135335283,229,484,355.7,-2.000000002,-135.5800653,0.001244292,-6.689188535,0,0.006747501711509775,0.7284733199405402,0.2074558382073271,0.5324675324675324,0.0,0.0,0.2788,-4.970782613,-5.05677011802904
0,553,2/1/2013 22:12,2/1/2013 22:24,0.2062043795620438,0.21839080459770116,0.3611111111111111,0.42696629213483145,0.2566985394557108,0.12297734627831715,50,0.08664163090128756,0.25555555555555554,0.25277777777777777,0.32160804020100503,0.0,0,0,0.135335283,229,484,400,-2.000000002,-106.9078979,0.005608476,-5.183476183,0,0.04531018607939204,0.35175759911392485,0.1718884429724214,0.22077922077922077,0.0,0.0,0.0,-3.090670262,-3.3977562631605505
0,682,8/20/2013 8:24,8/20/2013 8:12,0.3127737226277372,0.5287356321839081,0.5527777777777778,0.28651685393258425,0.2529158348218976,0.25598705501618124,777,0.21110515021459228,1.0,0.5833333333333334,0.6482412060301508,1.0,0,0,0.135335283,229,484,400.2,-2.000000002,-51.1693923,0.173836669,-1.749639104,0,0.49279533868878916,0.914786961070115,0.2734108935349704,0.33766233766233766,0.0,0.0,0.48,-0.708033182,-0.39434263595080477
0,305,4/2/2012 2:36,4/2/2012 2:12,0.1551094890510949,0.4367816091954023,0.44166666666666665,0.6685393258426966,0.25806451612903225,0.14142394822006474,264,0.12124463519313304,0.06388888888888888,0.07777777777777778,0.3969849246231156,0.0,0,0,0.135335283,229,484,347.2,-2.000000002,-87.43808579,0.009426288,-4.664252879,0,0.12640953694124393,0.31613171403189183,0.12528563547268198,0.3246753246753247,0.0,0.0,0.0,-2.067446957,-2.67216554755127
0,1577,4/14/2015 10:48,4/14/2015 10:48,0.07846715328467153,0.3218390804597701,0.25,0.47191011235955055,0.2579594410003152,0.15016181229773462,178,0.10836909871244635,0.2611111111111111,0.2972222222222222,0.5276381909547738,0.0,0,0,0.135335283,229,484,327.7,-2.000000002,-159.5600731,3.58E-05,-10.23745085,0,0.0008275601072302349,0.23561227836083745,0.05909968876414229,0.44155844155844154,0.5,1.0,0.43,-6.884644927,-7.935812400374255
0,1342,10/11/2014 22:24,10/11/2014 22:24,0.1813868613138686,0.1724137931034483,0.25555555555555554,0.5617977528089888,0.19522958915624672,0.09773462783171522,993,0.0,0.24444444444444444,0.23333333333333334,0.1507537688442211,0.0,0,0,0.135335283,229,484,344.8,-2.000000002,-151.9628746,0.000187402,-8.582255803,0,0.0017436499003502155,0.3355974912052345,0.14905181686739258,0.5324675324675324,0.0,0.0,0.08,-6.244649882,-6.696300281264318
0,2003,5/29/2016 9:24,5/29/2016 9:24,0.16423357664233576,0.16091954022988506,0.6944444444444444,0.6348314606741573,0.22906378060313123,0.09449838187702266,731,0.028701716738197425,0.8416666666666667,0.8166666666666667,0.1658291457286432,0.0,0,0,0.135335283,229,484,430.2,-2.000000002,29.77654416,0.064147597,-2.746568653,0,0.7872243657098198,0.32320508304247014,0.13348607009206176,0.3246753246753247,0.5,0.0,0.112,-0.239762732,-0.7913326455147759
0,1218,7/6/2014 23:48,7/7/2014 1:25,0.12226277372262774,0.25287356321839083,0.23333333333333334,0.9775280898876404,0.257223915099296,0.11650485436893204,232,0.10783261802575107,0.1111111111111111,0.12222222222222222,0.9296482412060302,0.0,0,0,0.135335283,229,484,271.8,-2.000000002,93.99993638,0.004940927,-5.310202363,0,0.09155932570556427,0.2871594567012067,0.09627373004820887,0.6623376623376623,0.25,0.0,0.1628,-2.389396441,-3.185450268706213
0,1584,4/19/2015 7:24,4/19/2015 7:36,0.07664233576642336,0.47126436781609193,0.9055555555555556,0.20786516853932585,0.2276978039298098,0.07993527508090614,378,0.0,0.24722222222222223,0.25,0.6884422110552764,0.0,0,0,0.135335283,229,484,423.2,-2.000000002,91.16013862,0.003631851,-5.618012756,0,0.10557911771007113,0.23297885299641888,0.057596520270486395,0.4935064935064935,0.0,0.0,0.066,-2.247206834,-3.3090040463950943
0,1958,4/9/2016 13:36,4/9/2016 13:25,0.09160583941605839,0.1724137931034483,0.3194444444444444,0.5730337078651685,0.2562782389408427,0.14822006472491908,383,0.1311695278969957,0.20277777777777778,0.19722222222222222,0.12562814070351758,0.0,0,0,0.135335283,229,484,332.3,-2.000000002,-132.3507084,0.000349149,-7.960012308,0,0.008577063898340823,0.25321028709932275,0.0700402988954635,0.4155844155844156,0.0,0.0,0.1816,-4.736806387,-5.711439767573268
0,488,10/31/2012 10:12,10/31/2012 10:12,0.09124087591240876,0.12643678160919541,0.8611111111111112,0.6067415730337079,0.20983503204791423,0.07896440129449839,632,0.0,0.8194444444444444,0.85,0.25125628140703515,0.0,0,0,0.135335283,229,484,287.3,-2.000000002,53.04598947,0.018541858,-3.987724526,0,0.4674006367824833,0.2527517697186011,0.06973372500525624,0.2077922077922078,0.0,0.0,0.0,-0.760918604,-1.7376779333814012
0,888,1/21/2014 2:36,1/21/2014 5:24,0.11824817518248175,0.3103448275862069,0.8472222222222222,0.46629213483146065,0.22853840495954605,0.05857605177993527,569,0.0,0.3111111111111111,0.3111111111111111,0.6482412060301508,0.0,0,0,0.135335283,229,484,337,-2.000000002,57.13274385,0.021427377,-3.843085862,0,0.4137951421528865,0.2831736716113644,0.09278798560266208,0.5324675324675324,0.5,0.0,0.3056,-0.882679941,-1.7021191858409397
0,207,11/30/2011 23:54,11/30/2011 23:24,0.16970802919708028,0.28735632183908044,0.6111111111111112,0.5786516853932584,0.25197015866344435,0.07540453074433658,245,0.06223175965665236,0.4888888888888889,0.48333333333333334,0.6633165829145728,0.0,0,0,0.135335283,229,484,470.2,-2.000000002,-17.31135356,0.07935331,-2.533845122,0,0.9226716288453735,0.3272719685097701,0.13843327765428642,0.4155844155844156,0.0,0.0,0.224,-0.0810392,-0.6007199077193474
0,1819,11/11/2015 15:24,11/11/2015 15:24,0.25364963503649635,0.39080459770114945,0.6,0.6404494382022472,0.2746663864663234,0.24401294498381876,511,0.23390557939914164,0.9111111111111111,0.925,0.3065326633165829,0.0,0,0,0.135335283,229,484,667.2,-2.000000002,26.0486096,0.163933961,-1.808291606,0,0.8328086858861278,0.7819358771963715,0.21645724198954996,0.4935064935064935,0.0,0.0,0.0,-0.183485685,-0.21419856471049087
0,541,1/11/2013 1:09,1/11/2013 0:24,0.2281021897810219,0.28735632183908044,0.2222222222222222,0.4606741573033708,0.2566985394557108,0.18770226537216828,447,0.14753218884120173,0.18055555555555555,0.30277777777777776,0.8190954773869347,0.0,0,0,0.135335283,229,484,311.8,-2.000000002,-171.1667422,5.55E-05,-9.79948132,0,0.00016628184480160996,0.5626006104175841,0.1923196435931515,0.16883116883116883,0.0,0.0,0.0,-7.922675398,-8.10220457701314
0,2105,10/22/2016 17:24,10/22/2016 17:24,0.09379562043795621,0.08045977011494253,0.7222222222222222,0.5393258426966292,0.2305348324051697,0.13042071197411004,582,0.0,0.7583333333333333,0.7583333333333333,0.135678391959799,0.0,0,0,0.135335283,229,484,343.5,-2.000000002,15.46472385,0.038148147,-3.266278091,0,0.9379005054121275,0.2559394049729421,0.07188279797332904,0.2857142857142857,0.0,0.0,0.0,-0.06467217,-1.026549869260983
0,1753,9/9/2015 6:00,9/9/2015 3:36,0.16058394160583941,0.04597701149425287,0.48333333333333334,0.3707865168539326,0.26163707050541135,0.16375404530744336,247,0.14109442060085836,0.6805555555555556,0.6805555555555556,0.2864321608040201,0.0,0,0,0.135335283,229,484,415.3,-2.000000002,-63.45724634,0.026470488,-3.631724827,0,0.3366431375290195,0.32041489687718433,0.1301990479855666,0.38961038961038963,0.0,0.0,0.136,-1.088918906,-1.661748290142306
0,980,3/4/2014 21:49,3/4/2014 21:38,0.16423357664233576,0.27586206896551724,0.6,0.601123595505618,0.2370494903856257,0.2530744336569579,1023,0.2234442060085837,0.18333333333333332,0.19444444444444445,0.7085427135678392,0.0,0,0,0.135335283,229,484,415.5,-2.000000002,-26.72916652,0.06720521,-2.7000045,0,0.8247569494456233,0.32320508304247014,0.13348607009206176,0.7792207792207793,0.5,0.0,0.36,-0.193198578,-0.7447684921187399
0,9,8/14/2010 10:12,8/14/2010 10:12,0.3248175182481752,0.3448275862068966,0.6277777777777778,0.4550561797752809,0.2071030787012714,0.3213592233009709,1415,0.26528969957081544,1.0,0.6222222222222222,0.1658291457286432,1.0,0,0,0.135335283,229,484,412,-2.000000002,-11.88470418,0.38250972,-0.961001215,0,0.9630701109692669,0.9262680434345987,0.2851804676115453,0.05194805194805195,0.0,0.0,0.0,-0.038195293,0.3456515069482883
0,1512,2/27/2015 17:36,2/27/2015 16:48,0.06204379562043796,0.11494252873563218,0.6138888888888889,0.43258426966292135,0.24335399810864766,0.07249190938511327,368,0.0,0.6861111111111111,0.6805555555555556,0.2914572864321608,0.0,0,0,0.135335283,229,484,327.7,-2.000000002,-30.78902402,0.023025546,-3.771150973,0,0.7742747821342167,0.20984849322806304,0.045729928307838154,0.4675324675324675,0.0,0.0,0.102,-0.256345051,-1.4031801465694842
0,439,8/16/2012 0:48,8/16/2012 0:24,0.2521897810218978,0.3448275862068966,0.18055555555555555,0.23595505617977527,0.2576442156141641,0.27346278317152106,745,0.22103004291845493,0.3416666666666667,0.3861111111111111,0.16080402010050251,0.0,0,0,0.135335283,229,484,483.2,-2.000000002,-131.4722853,0.001811964,-6.313343779,0,0.009144423711390761,0.7749148768281291,0.21506972331311572,0.24675324675324675,0.0,0.0,0.0,-4.674137858,-4.713354527140785
0,2094,10/5/2016 11:12,10/5/2016 11:36,0.16678832116788322,0.08045977011494253,0.7583333333333333,0.4943820224719101,0.3162761374382683,0.16601941747572815,59,0.3269849785407725,0.29444444444444445,0.2916666666666667,0.20603015075376885,0.0,0,0,0.135335283,229,484,501.8,-2.000000002,47.32650745,0.045625696,-3.087284209,0,0.5459282387604059,0.3251171688012946,0.13579230434186165,0.2987012987012987,0.0,0.0,0.0,-0.605678288,-1.1423665717667393
0,1542,3/15/2015 8:36,3/15/2015 8:12,0.04817518248175182,0.1839080459770115,0.24444444444444444,0.46629213483146065,0.24797730377219712,0.040129449838187704,236,0.0,0.2916666666666667,0.2722222222222222,0.2663316582914573,0.0,0,0,0.135335283,229,484,314.7,-2.000000002,-164.0437014,1.79E-05,-10.92860321,0,0.0004957662409825779,0.18352592573799928,0.03475039072537775,0.5974025974025974,0.25,0.0,0.4,-7.276997291,-8.50461837152586
0,416,7/11/2012 1:25,7/11/2012 1:25,0.20072992700729927,0.45977011494252873,0.013888888888888888,0.42696629213483145,0.2506041819901229,0.11812297734627832,393,0.09254291845493562,1.0,0.5055555555555555,0.5527638190954773,1.0,0,0,0.135335283,229,484,505.8,-2.000000002,138.2335723,0.000666104,-7.314064038,0,0.005508086109053331,0.3483695198028426,0.16682065665822834,0.6233766233766234,0.0,0.0,0.0,-5.167258116,-5.506233321504762
0,748,10/21/2013 0:48,10/21/2013 0:48,0.14525547445255474,0.45977011494252873,0.675,0.10674157303370786,0.2850688242093097,0.14401294498381878,197,0.23766094420600858,0.875,0.8805555555555555,0.6432160804020101,0.0,0,0,0.135335283,229,484,303.3,-2.000000002,-69.52586181,0.018294456,-4.001157209,0,0.2706019164136578,0.30803980495267125,0.11649514330747907,0.4155844155844156,0.0,0.0,0.246,-1.307151287,-1.969270449013064
