dummy,DH_Type_II_Start,DH_Type_II_End,Max_Frequency,Min_Frequency,Flare_Loc,Flare_NOAA,Flare_Imp,CME_Date_Time,CME_CPA,CME_Width,CMA_Spd,Plots,Notes,,,,,,,,
0,2/18/2000 9:44,2/18/2000 9:54,2000,1200,NW90b,-----,C1.1,2/18/2000 9:54,286,118,890,PHTX,,,,,,,,,
0,3/2/2000 13:50,3/2/2000 14:03,14000,6000,S20W58,8882,M6.5,3/2/2000 13:54,235,76,835,PHTX,,,,,,,,,
0,3/7/2000 16:24,3/7/2000 16:48,14000,4500,S22E77,8906,M1.2,3/7/2000 16:30,120,108,644,PHTX,,,,,,,,,
0,3/27/2000 6:56,3/27/2000 6:58,14000,10000,S00E90,8932,C2.3,3/27/2000 7:31,129,90,487,PHTX,,,,,,,,,
0,4/4/2000 15:45,4/4/2000 16:00,14000,9000,N16W66,8933,C9.7,4/4/2000 16:32,Halo,360,1188,PHTX,,,,,,,,,
0,4/9/2000 23:15,4/9/2000 23:45,4500,1000,S14W01,8948,M3.1,4/10/2000 0:30,Halo,360,409,PHTX,,,,,,,,,
0,4/18/2000 15:00,4/18/2000 16:00,14000,6000,S50W30,altr,FILA,4/18/2000 14:54,195,105,668,PHTX,,,,,,,,,
0,5/4/2000 11:10,5/4/2000 13:00,6500,1000,S17W87,8970,M6.8,5/4/2000 11:26,235,>170,1404,PHTX,,,,,,,,,
0,5/5/2000 16:35,5/5/2000 17:30,14000,2500,S17W87,8970,M1.5,5/5/2000 15:50,Halo,360,1594,PHTX,,,,,,,,,
0,5/7/2000 21:15,5/8/2000 0:00,14000,500,W90b,-----,----,5/7/2000 20:50,Halo,360,1781,PHTX,,,,,,,,,
0,5/12/2000 23:34,5/12/2000 23:42,14000,7000,E90b,-----,----,5/12/2000 23:26,Halo,360,2604,PHTX,,,,,,,,,
0,5/15/2000 16:47,5/16/2000 14:00,4800,40,S24W67,8993,C7.8,5/15/2000 16:26,257,>165,1212,PHTX,,,,,,,,,
0,6/2/2000 22:00,6/2/2000 22:15,14000,8000,N16E60,9026,M7.6,6/2/2000 21:30,69,104,547,PHTX,,,,,,,,,
0,6/6/2000 15:20,6/8/2000 9:00,14000,40,N20E18,9026,X2.3,6/6/2000 15:54,Halo,360,1119,PHTX,,,,,,,,,
0,6/10/2000 17:15,6/10/2000 18:45,10000,1000,N22W38,9026,M5.2,6/10/2000 17:08,Halo,360,1108,PHTX,,,,,,,,,
0,6/15/2000 19:52,6/15/2000 19:56,5000,2500,N20W65,9041,M1.8,6/15/2000 20:06,298,116,1081,PHTX,,,,,,,,,
0,6/17/2000 3:00,6/17/2000 4:15,14000,1000,N22W72,9041,M3.5,6/17/2000 3:28,298,133,857,PHTX,,,,,,,,,
0,6/23/2000 14:40,6/23/2000 15:05,14000,2000,N26W72,9042,M3.0,6/23/2000 14:54,282,>198,847,PHTX,,,,,,,,,
0,6/25/2000 8:10,6/25/2000 9:00,12000,2500,N16W55,9046,M1.9,6/25/2000 7:54,262,165,1617,PHTX,,,,,,,,,
0,7/10/2000 22:00,7/10/2000 23:30,14000,1000,N18E49,9077,M5.7,7/10/2000 21:50,67,>289,1352,PHTX,,,,,,,,,
0,7/11/2000 13:00,7/11/2000 13:30,12000,1000,N18E27,9077,X1.0,7/11/2000 13:27,Halo,360,1078,PHTX,,,,,,,,,
0,7/12/2000 20:05,7/12/2000 20:35,6000,1000,N19W61,9070,M1.5,7/12/2000 20:30,281,101,820,PHTX,,,,,,,,,
0,7/14/2000 10:30,7/15/2000 14:30,14000,80,N22W07,9077,X5.7,7/14/2000 10:54,Halo,360,1674,PHTX,,,,,,,,,
0,7/22/2000 11:45,7/22/2000 12:45,14000,2000,N14W56,9085,M3.7,7/22/2000 11:54,259,>229,1230,PHTX,,,,,,,,,
0,8/11/2000 11:35,8/11/2000 11:59,2800,2000,NW90b,-----,----,8/11/2000 7:31,273,70,1071,PHTX,uncertain,,,,,,,,
0,9/12/2000 12:00,9/13/2000 12:20,14000,60,S19W06,DSF,M1.0,9/12/2000 11:54,Halo,360,1550,PHTX,,,,,,,,,
0,9/12/2000 18:15,9/12/2000 19:00,2000,1000,NE90b,-----,----,9/12/2000 17:30,Halo,360,1053,PHTX,,,,,,,,,
0,9/16/2000 4:30,9/16/2000 10:30,14000,400,N14W07,9165,M5.9,9/16/2000 5:18,Halo,360,1215,PHTX,,,,,,,,,
0,9/19/2000 8:45,9/19/2000 10:20,12000,1500,N14W46,9165,M5.1,9/19/2000 8:50,283,76,766,PHTX,,,,,,,,,
